Pause Before,Size,Left Span,Right Span,Weight,RL Ratio,WS Ratio
343,1,1,1,1,1.0,1.0
125,2,2,2,2,1.0,1.0
1825,2,2,1,1,0.5,0.5
312,3,3,1,1,0.3333333333333333,0.3333333333333333
452,3,1,3,1,3.0,0.3333333333333333
499,2,1,2,1,2.0,0.5
921,3,2,2,2,1.0,0.6666666666666666
265,6,2,6,2,3.0,0.3333333333333333
452,6,3,6,3,2.0,0.5
546,5,3,5,3,1.6666666666666665,0.6
312,4,2,4,2,2.0,0.5
827,5,3,4,3,1.3333333333333333,0.6
6069,3,2,3,2,1.5,0.6666666666666666
1248,4,3,3,3,1.0,0.75
4119,5,4,3,3,0.75,0.6
125,3,3,3,3,1.0,1.0
2262,2,2,2,2,1.0,1.0
1623,3,3,2,2,0.6666666666666666,0.6666666666666666
297,4,4,2,2,0.5,0.5
8502,1,1,1,1,1.0,1.0
546,1,1,1,1,1.0,1.0
2293,2,2,1,1,0.5,0.5
374,4,3,2,2,0.6666666666666666,0.5
483,5,4,2,2,0.5,0.39999999999999997
203,6,5,2,2,0.39999999999999997,0.3333333333333333
312,7,6,2,2,0.3333333333333333,0.2857142857142857
297,8,7,2,2,0.2857142857142857,0.25
187,4,4,2,2,0.5,0.5
140,5,5,2,2,0.39999999999999997,0.39999999999999997
530,6,6,2,2,0.3333333333333333,0.3333333333333333
718,3,3,1,1,0.3333333333333333,0.3333333333333333
218,4,4,1,1,0.25,0.25
359,5,5,1,1,0.19999999999999998,0.19999999999999998
312,6,6,1,1,0.16666666666666666,0.16666666666666666
873,3,1,3,1,3.0,0.3333333333333333
109,4,2,3,2,1.5,0.5
343,5,3,3,2,1.0,0.39999999999999997
936,4,2,4,2,2.0,0.5
172,3,2,3,2,1.5,0.6666666666666666
453,4,3,3,2,1.0,0.5
515,3,2,3,2,1.5,0.6666666666666666
499,4,3,3,2,1.0,0.5
312,5,4,3,2,0.75,0.39999999999999997
8066,2,1,2,1,2.0,0.5
843,3,2,2,2,1.0,0.6666666666666666
374,4,3,3,3,1.0,0.75
1763,4,3,2,2,0.6666666666666666,0.5
188,5,4,2,2,0.5,0.39999999999999997
219,6,5,2,2,0.39999999999999997,0.3333333333333333
608,2,2,2,2,1.0,1.0
2137,3,3,2,2,0.6666666666666666,0.6666666666666666
343,4,4,2,2,0.5,0.5
374,5,5,2,2,0.39999999999999997,0.39999999999999997
140,2,2,2,2,1.0,1.0
125,3,3,2,2,0.6666666666666666,0.6666666666666666
265,4,4,2,2,0.5,0.5
156,1,1,1,1,1.0,1.0
983,1,1,1,1,1.0,1.0
2106,3,1,3,1,3.0,0.3333333333333333
639,4,2,3,2,1.5,0.5
3370,5,3,4,3,1.3333333333333333,0.6
3479,5,3,3,2,1.0,0.39999999999999997
281,6,4,3,2,0.75,0.3333333333333333
1108,4,2,4,2,2.0,0.5
