n	head_initial	mean_hierarchical_distance	tree_diameter	num_crossings	predicted_num_crossings	exp_num_crossings	sum_edge_lengths	exp_sum_edge_lengths	mean_dependency_distance
32	0.290323	2.45161	8	0	24.5158	121.333	118	341	3.80645
27	0.538462	3.61538	9	0	7.91295	94.3333	103	242.667	3.96154
21	0.4	1.95	6	0	4.05994	50.3333	51	146.667	2.55
15	0.428571	1.85714	6	0	3.51051	22.3333	40	74.6667	2.85714
6	0.6	1.6	4	0	0.5	1.66667	9	11.6667	1.8
9	0.5	1.75	4	0	0.904545	5.33333	19	26.6667	2.375
8	0.142857	1.42857	3	0	1.02597	3	13	21	1.85714
16	0.2	2.53333	5	0	6.89118	24.3333	42	85	2.8
35	0.382353	5.05882	12	0	14.7372	163.667	105	408	3.08824
23	0.272727	2	5	0	7.4662	59.3333	55	176	2.5
59	0.327586	4.06897	12	0	28.8772	504	155	1160	2.67241
20	0.368421	1.73684	5	0	5.173	41.3333	56	133	2.94737
23	0.318182	2.27273	8	0	10.0692	61.3333	76	176	3.45455
48	0.319149	3.08511	9	0	25.3786	324.667	151	767.667	3.21277
77	0.355263	4.57895	13	2	42.424	894.333	367	1976	4.82895
102	0.376238	3.22772	11	6	56.5533	1589	591	3467.67	5.85149
18	0.352941	2.41176	5	0	3.02514	31.3333	53	107.667	3.11765
3	0.5	1.5	2	0	0	0	3	2.66667	1.5
15	0.642857	2.57143	5	0	1.84151	22.3333	56	74.6667	4
6	0.4	1.4	3	0	0.5	1.33333	11	11.6667	2.2
21	0.4	1.8	6	0	8.03931	46.6667	61	146.667	3.05
20	0.315789	1.89474	5	0	8.76325	37	60	133	3.15789
14	0.384615	1.84615	6	0	3.2744	18.3333	36	65	2.76923
20	0.210526	1.89474	4	0	16.1736	37	73	133	3.84211
37	0.333333	3.66667	9	0	18.509	181.667	123	456	3.41667
21	0.3	2.7	6	0	10.2628	46	65	146.667	3.25
15	0.428571	1.42857	4	0	3.34132	15.6667	38	74.6667	2.71429
16	0.333333	1.66667	4	0	5.19839	24.3333	56	85	3.73333
10	0.333333	1.88889	6	0	1.20261	8	19	33	2.11111
17	0.3125	2.125	6	0	5.01137	31	39	96	2.4375
9	0.375	1.375	4	0	1.05769	4.66667	20	26.6667	2.5
11	0.4	1.9	6	0	1.64577	10	21	40	2.1
12	0.363636	2.18182	5	0	2.77661	11.6667	28	47.6667	2.54545
8	0.428571	1.71429	5	0	0.4	4.33333	13	21	1.85714
12	0.272727	1.45455	4	0	3.70255	9.66667	32	47.6667	2.90909
45	0.386364	2.22727	8	0	22.3431	276.333	191	674.667	4.34091
18	0.411765	2.94118	7	0	4.28314	35.3333	35	107.667	2.05882
17	0.375	2.125	6	0	4.01552	24.3333	45	96	2.8125
3	0	1	2	0	0	0	3	2.66667	1.5
56	0.363636	3.6	13	0	24.2694	454.333	161	1045	2.92727
12	0.363636	2	4	0	0.666667	11	36	47.6667	3.27273
17	0.375	2.375	6	0	3.50278	29	52	96	3.25
10	0.555556	1.44444	5	0	1.00866	6	19	33	2.11111
2	1	1	1	0	0	0	1	1	1
14	0.230769	1.69231	5	0	2.88909	17	37	65	2.84615
5	0.25	1	2	0	0	0	7	8	1.75
10	0.222222	1.33333	3	0	3.82238	5	25	33	2.77778
14	0.230769	1.53846	4	0	5.38407	16.3333	41	65	3.15385
14	0.461538	2.46154	6	0	3.33078	18.3333	32	65	2.46154
20	0.473684	2.15789	7	0	5.37795	42.3333	63	133	3.31579
