ID	session	writer	n_event	st_time	end_time	pause	event	pos	doc_len	op	type_op	charID	charStatus	tokenID	token	lemma	POS	XPOS	ms	governor	function	sentence_id
.	0	5	1	307213	307400		a	0	0	1	keyboard	1	False	0=1	0=aA	0=_	0=X	0=NPP	0=	0=0	0=x	0=1
.	0	5	2	315559	315762	8159	A	1	1	1	keyboard	2	False	0=1	0=aA	0=_	0=X	0=NPP	0=	0=0	0=x	0=1
.	0	5	3	334014	334233	18252	␣	2	2	1	keyboard	3	False	na	na	na	na	na	na	na	na	na
.	0	5	4	334763	335013	530	␣	3	3	1	keyboard	4	False	na	na	na	na	na	na	na	na	na
.	0	5	5	335434	335637	421	␣	4	4	1	keyboard	5	False	na	na	na	na	na	na	na	na	na
.	0	5	6	341643	341658	6006	v	5	5	1	keyboard	6	False	0=2	0=v	0=_	0=X	0=NC	0=	0=0	0=x	0=1
.	0	5	7	352890	353015	11232	␣	6	6	1	keyboard	7	False	na	na	na	na	na	na	na	na	na
.	0	5	8	384168	384324	31153	⌫	7	7	-1	keyboard	8	na	na	na	na	na	na	na	na	na	na
.	0	5	9	384636	384855	312	⌫	6	6	-1	keyboard	9	na	na	na	na	na	na	na	na	na	na
.	0	5	10	385120	385276	265	⌫	5	5	-1	keyboard	10	na	na	na	na	na	na	na	na	na	na
.	0	5	11	385526	385760	250	⌫	4	4	-1	keyboard	11	na	na	na	na	na	na	na	na	na	na
.	0	5	12	385978	386165	218	⌫	3	3	-1	keyboard	12	na	na	na	na	na	na	na	na	na	na
.	0	5	13	386446	386664	281	⌫	2	2	-1	keyboard	13	na	na	na	na	na	na	na	na	na	na
.	0	5	14	386898	387101	234	⌫	1	1	-1	keyboard	14	na	na	na	na	na	na	na	na	na	na
.	0	5	15	392951	393107	5850	m	0	0	1	keyboard	15	True	2=3|3=3|4=3|5=3|6=3|7=3|8=3|9=3|10=3|11=3|12=3|13=3|14=3|15=3|16=3|17=3|18=3	2=moi|3=moi|4=moi|5=moi|6=moi|7=moi|8=moi|9=moi|10=moi|11=moi|12=moi|13=moi|14=moi|15=moi|16=moi|17=moi|18=moi	2=moi|3=moi|4=moi|5=moi|6=moi|7=moi|8=moi|9=moi|10=moi|11=moi|12=moi|13=moi|14=moi|15=moi|16=moi|17=moi|18=moi	2=PRO|3=PRO|4=PRO|5=PRO|6=PRO|7=PRO|8=PRO|9=PRO|10=PRO|11=PRO|12=PRO|13=PRO|14=PRO|15=PRO|16=PRO|17=PRO|18=PRO	2=PRO|3=PRO|4=PRO|5=PRO|6=PRO|7=PRO|8=PRO|9=PRO|10=PRO|11=PRO|12=PRO|13=PRO|14=PRO|15=PRO|16=PRO|17=PRO|18=PRO	2=n=s|p=1|3=n=s|p=1|4=n=s|p=1|5=n=s|p=1|6=n=s|p=1|7=n=s|p=1|8=n=s|p=1|9=n=s|p=1|10=n=s|p=1|11=n=s|p=1|12=n=s|p=1|13=n=s|p=1|14=n=s|p=1|15=n=s|p=1|16=n=s|p=1|17=n=s|p=1|18=n=s|p=1	2=5|3=5|4=5|5=5|6=5|7=5|8=5|9=5|10=5|11=5|12=5|13=0|14=5|15=5|16=0|17=0|18=0	2=suj|3=suj|4=suj|5=suj|6=suj|7=suj|8=suj|9=suj|10=suj|11=suj|12=suj|13=_|14=suj|15=suj|16=_|17=_|18=_	2=1|3=1|4=1|5=1|6=1|7=1|8=1|9=1|10=1|11=1|12=1|13=1|14=1|15=1|16=1|17=1|18=1
.	0	5	16	393606	393825	499	o	1	1	1	keyboard	16	True	2=3|3=3|4=3|5=3|6=3|7=3|8=3|9=3|10=3|11=3|12=3|13=3|14=3|15=3|16=3|17=3|18=3	2=moi|3=moi|4=moi|5=moi|6=moi|7=moi|8=moi|9=moi|10=moi|11=moi|12=moi|13=moi|14=moi|15=moi|16=moi|17=moi|18=moi	2=moi|3=moi|4=moi|5=moi|6=moi|7=moi|8=moi|9=moi|10=moi|11=moi|12=moi|13=moi|14=moi|15=moi|16=moi|17=moi|18=moi	2=PRO|3=PRO|4=PRO|5=PRO|6=PRO|7=PRO|8=PRO|9=PRO|10=PRO|11=PRO|12=PRO|13=PRO|14=PRO|15=PRO|16=PRO|17=PRO|18=PRO	2=PRO|3=PRO|4=PRO|5=PRO|6=PRO|7=PRO|8=PRO|9=PRO|10=PRO|11=PRO|12=PRO|13=PRO|14=PRO|15=PRO|16=PRO|17=PRO|18=PRO	2=n=s|p=1|3=n=s|p=1|4=n=s|p=1|5=n=s|p=1|6=n=s|p=1|7=n=s|p=1|8=n=s|p=1|9=n=s|p=1|10=n=s|p=1|11=n=s|p=1|12=n=s|p=1|13=n=s|p=1|14=n=s|p=1|15=n=s|p=1|16=n=s|p=1|17=n=s|p=1|18=n=s|p=1	2=5|3=5|4=5|5=5|6=5|7=5|8=5|9=5|10=5|11=5|12=5|13=0|14=5|15=5|16=0|17=0|18=0	2=suj|3=suj|4=suj|5=suj|6=suj|7=suj|8=suj|9=suj|10=suj|11=suj|12=suj|13=_|14=suj|15=suj|16=_|17=_|18=_	2=1|3=1|4=1|5=1|6=1|7=1|8=1|9=1|10=1|11=1|12=1|13=1|14=1|15=1|16=1|17=1|18=1
