ID	session	writer	n_event	st_time	end_time	pause	event	pos	doc_len	op	type_op	charID	charStatus	tokenID	token	lemma	POS	XPOS	ms	governor	function	sentence_id
.	0	4	1	275982	276060		U	0	0	1	keyboard	1	False	0=1	0=Un	0=un	0=DET	0=DET	0=n=s|g=m	0=2	0=det	0=1
.	0	4	2	276793	276871	733	n	1	1	1	keyboard	2	False	0=1	0=Un	0=un	0=DET	0=DET	0=n=s|g=m	0=2	0=det	0=1
.	0	4	3	276996	277058	125	␣	2	2	1	keyboard	3	False	na	na	na	na	na	na	na	na	na
.	0	4	4	277557	277620	499	p	3	3	1	keyboard	4	False	0=2	0=profess	0=_	0=NC	0=NC	0=	0=0	0=_	0=1
.	0	4	5	278166	278259	546	r	4	4	1	keyboard	5	False	0=2	0=profess	0=_	0=NC	0=NC	0=	0=0	0=_	0=1
.	0	4	6	278415	278462	156	o	5	5	1	keyboard	6	False	0=2	0=profess	0=_	0=NC	0=NC	0=	0=0	0=_	0=1
.	0	4	7	279180	279351	718	f	6	6	1	keyboard	7	False	0=2	0=profess	0=_	0=NC	0=NC	0=	0=0	0=_	0=1
.	0	4	8	279601	279726	250	e	7	7	1	keyboard	8	False	0=2	0=profess	0=_	0=NC	0=NC	0=	0=0	0=_	0=1
.	0	4	9	280116	280194	390	s	8	8	1	keyboard	9	False	0=2	0=profess	0=_	0=NC	0=NC	0=	0=0	0=_	0=1
.	0	4	10	280319	280412	125	s	9	9	1	keyboard	10	False	0=2	0=profess	0=_	0=NC	0=NC	0=	0=0	0=_	0=1
.	0	4	11	281286	281348	874	⌫	10	10	-1	keyboard	11	na	na	na	na	na	na	na	na	na	na
.	0	4	12	281489	281551	141	⌫	9	9	-1	keyboard	12	na	na	na	na	na	na	na	na	na	na
.	0	4	13	281676	281723	125	⌫	8	8	-1	keyboard	13	na	na	na	na	na	na	na	na	na	na
.	0	4	14	281847	281910	124	⌫	7	7	-1	keyboard	14	na	na	na	na	na	na	na	na	na	na
.	0	4	15	282019	282097	109	⌫	6	6	-1	keyboard	15	na	na	na	na	na	na	na	na	na	na
.	0	4	16	282206	282269	109	⌫	5	5	-1	keyboard	16	na	na	na	na	na	na	na	na	na	na
.	0	4	17	282409	282471	140	⌫	4	4	-1	keyboard	17	na	na	na	na	na	na	na	na	na	na
.	0	4	18	282596	282659	125	⌫	3	3	-1	keyboard	18	na	na	na	na	na	na	na	na	na	na
.	0	4	19	282830	282877	171	⌫	2	2	-1	keyboard	19	na	na	na	na	na	na	na	na	na	na
.	0	4	20	283033	283080	156	⌫	1	1	-1	keyboard	20	na	na	na	na	na	na	na	na	na	na
.	0	4	21	284421	284437	1341	J	0	0	1	keyboard	21	True	2=3|3=3|4=3|5=3|6=3|7=3|8=3|9=3|10=3|11=3|12=3|13=3|14=3|15=3|16=3|17=3|18=3|19=3|20=3|21=3|22=3|23=3|24=3|25=3|26=3|27=3|28=3|29=3|30=3|31=3|32=3|33=3|34=3|35=3|36=3|37=3|38=3|39=3|40=3|41=3|42=3|43=3|44=3|45=3|46=3|47=3|48=3|49=3|50=3|51=3|52=3|53=3|54=3|55=3|56=3|57=3|58=3|59=3|60=3|61=3|62=3|63=3|64=3|65=3|66=3|67=3|68=3|69=3|70=3|71=3|72=3|73=3|74=3|75=3|76=3|77=3|78=3|79=3|80=3|81=3|82=3|83=3|84=3|85=3|86=3|87=3|88=3|89=3|90=3|91=3|92=3	2=J'|3=J'|4=J'|5=J'|6=J'|7=J'|8=J'|9=J'|10=J'|11=J'|12=J'|13=J'|14=J'|15=J'|16=J'|17=J'|18=J'|19=J'|20=J'|21=J'|22=J'|23=J'|24=J'|25=J'|26=J'|27=J'|28=J'|29=J'|30=J'|31=J'|32=J'|33=J'|34=J'|35=J'|36=J'|37=J'|38=J'|39=J'|40=J'|41=J'|42=J'|43=J'|44=J'|45=J'|46=J'|47=J'|48=J'|49=J'|50=J'|51=J'|52=J'|53=J'|54=J'|55=J'|56=J'|57=J'|58=J'|59=J'|60=J'|61=J'|62=J'|63=J'|64=J'|65=J'|66=J'|67=J'|68=J'|69=J'|70=J'|71=J'|72=J'|73=J'|74=J'|75=J'|76=J'|77=J'|78=J'|79=J'|80=J'|81=J'|82=J'|83=J'|84=J'|85=J'|86=J'|87=J'|88=J'|89=J'|90=J'|91=J'|92=J'	2=je|3=je|4=je|5=je|6=je|7=je|8=je|9=je|10=je|11=je|12=je|13=je|14=je|15=je|16=je|17=je|18=je|19=je|20=je|21=je|22=je|23=je|24=je|25=je|26=je|27=je|28=je|29=je|30=je|31=je|32=je|33=je|34=je|35=je|36=je|37=je|38=je|39=je|40=je|41=je|42=je|43=je|44=je|45=je|46=je|47=je|48=je|49=je|50=je|51=je|52=je|53=je|54=je|55=je|56=je|57=je|58=je|59=je|60=je|61=je|62=je|63=je|64=je|65=je|66=je|67=je|68=je|69=je|70=je|71=je|72=je|73=je|74=je|75=je|76=je|77=je|78=je|79=je|80=je|81=je|82=je|83=je|84=je|85=je|86=je|87=je|88=je|89=je|90=je|91=je|92=je	2=CLS|3=CLS|4=CLS|5=CLS|6=CLS|7=CLS|8=CLS|9=CLS|10=CLS|11=CLS|12=CLS|13=CLS|14=CLS|15=CLS|16=CLS|17=CLS|18=CLS|19=CLS|20=CLS|21=CLS|22=CLS|23=CLS|24=CLS|25=CLS|26=CLS|27=CLS|28=CLS|29=CLS|30=CLS|31=CLS|32=CLS|33=CLS|34=CLS|35=CLS|36=CLS|37=CLS|38=CLS|39=CLS|40=CLS|41=CLS|42=CLS|43=CLS|44=CLS|45=CLS|46=CLS|47=CLS|48=CLS|49=CLS|50=CLS|51=CLS|52=CLS|53=CLS|54=CLS|55=CLS|56=CLS|57=CLS|58=CLS|59=CLS|60=CLS|61=CLS|62=CLS|63=CLS|64=CLS|65=CLS|66=CLS|67=CLS|68=CLS|69=CLS|70=CLS|71=CLS|72=CLS|73=CLS|74=CLS|75=CLS|76=CLS|77=CLS|78=CLS|79=CLS|80=CLS|81=CLS|82=CLS|83=CLS|84=CLS|85=CLS|86=CLS|87=CLS|88=CLS|89=CLS|90=CLS|91=CLS|92=CLS	2=CLS|3=CLS|4=CLS|5=CLS|6=CLS|7=CLS|8=CLS|9=CLS|10=CLS|11=CLS|12=CLS|13=CLS|14=CLS|15=CLS|16=CLS|17=CLS|18=CLS|19=CLS|20=CLS|21=CLS|22=CLS|23=CLS|24=CLS|25=CLS|26=CLS|27=CLS|28=CLS|29=CLS|30=CLS|31=CLS|32=CLS|33=CLS|34=CLS|35=CLS|36=CLS|37=CLS|38=CLS|39=CLS|40=CLS|41=CLS|42=CLS|43=CLS|44=CLS|45=CLS|46=CLS|47=CLS|48=CLS|49=CLS|50=CLS|51=CLS|52=CLS|53=CLS|54=CLS|55=CLS|56=CLS|57=CLS|58=CLS|59=CLS|60=CLS|61=CLS|62=CLS|63=CLS|64=CLS|65=CLS|66=CLS|67=CLS|68=CLS|69=CLS|70=CLS|71=CLS|72=CLS|73=CLS|74=CLS|75=CLS|76=CLS|77=CLS|78=CLS|79=CLS|80=CLS|81=CLS|82=CLS|83=CLS|84=CLS|85=CLS|86=CLS|87=CLS|88=CLS|89=CLS|90=CLS|91=CLS|92=CLS	2=n=s|p=1|3=n=s|p=1|4=n=s|p=1|5=n=s|p=1|6=n=s|p=1|7=n=s|p=1|8=n=s|p=1|9=n=s|p=1|10=n=s|p=1|11=n=s|p=1|12=n=s|p=1|13=n=s|p=1|14=n=s|p=1|15=n=s|p=1|16=n=s|p=1|17=n=s|p=1|18=n=s|p=1|19=n=s|p=1|20=n=s|p=1|21=n=s|p=1|22=n=s|p=1|23=n=s|p=1|24=n=s|p=1|25=n=s|p=1|26=n=s|p=1|27=n=s|p=1|28=n=s|p=1|29=n=s|p=1|30=n=s|p=1|31=n=s|p=1|32=n=s|p=1|33=n=s|p=1|34=n=s|p=1|35=n=s|p=1|36=n=s|p=1|37=n=s|p=1|38=n=s|p=1|39=n=s|p=1|40=n=s|p=1|41=n=s|p=1|42=n=s|p=1|43=n=s|p=1|44=n=s|p=1|45=n=s|p=1|46=n=s|p=1|47=n=s|p=1|48=n=s|p=1|49=n=s|p=1|50=n=s|p=1|51=n=s|p=1|52=n=s|p=1|53=n=s|p=1|54=n=s|p=1|55=n=s|p=1|56=n=s|p=1|57=n=s|p=1|58=n=s|p=1|59=n=s|p=1|60=n=s|p=1|61=n=s|p=1|62=n=s|p=1|63=n=s|p=1|64=n=s|p=1|65=n=s|p=1|66=n=s|p=1|67=n=s|p=1|68=n=s|p=1|69=n=s|p=1|70=n=s|p=1|71=n=s|p=1|72=n=s|p=1|73=n=s|p=1|74=n=s|p=1|75=n=s|p=1|76=n=s|p=1|77=n=s|p=1|78=n=s|p=1|79=n=s|p=1|80=n=s|p=1|81=n=s|p=1|82=n=s|p=1|83=n=s|p=1|84=n=s|p=1|85=n=s|p=1|86=n=s|p=1|87=n=s|p=1|88=n=s|p=1|89=n=s|p=1|90=n=s|p=1|91=n=s|p=1|92=n=s|p=1	2=5|3=5|4=5|5=5|6=5|7=5|8=5|9=5|10=5|11=5|12=5|13=5|14=5|15=5|16=5|17=5|18=5|19=5|20=5|21=5|22=5|23=5|24=5|25=5|26=5|27=5|28=5|29=5|30=5|31=5|32=5|33=5|34=5|35=5|36=5|37=5|38=5|39=5|40=5|41=5|42=5|43=5|44=5|45=5|46=5|47=5|48=5|49=5|50=5|51=5|52=5|53=5|54=5|55=5|56=5|57=5|58=5|59=5|60=5|61=5|62=5|63=5|64=5|65=5|66=5|67=5|68=5|69=5|70=5|71=5|72=5|73=5|74=5|75=5|76=5|77=5|78=5|79=5|80=5|81=5|82=5|83=5|84=5|85=5|86=5|87=5|88=5|89=5|90=5|91=5|92=5	2=suj|3=suj|4=suj|5=suj|6=suj|7=suj|8=suj|9=suj|10=suj|11=suj|12=suj|13=suj|14=suj|15=suj|16=suj|17=suj|18=suj|19=suj|20=suj|21=suj|22=suj|23=suj|24=suj|25=suj|26=suj|27=suj|28=suj|29=suj|30=suj|31=suj|32=suj|33=suj|34=suj|35=suj|36=suj|37=suj|38=suj|39=suj|40=suj|41=suj|42=suj|43=suj|44=suj|45=suj|46=suj|47=suj|48=suj|49=suj|50=suj|51=suj|52=suj|53=suj|54=suj|55=suj|56=suj|57=suj|58=suj|59=suj|60=suj|61=suj|62=suj|63=suj|64=suj|65=suj|66=suj|67=suj|68=suj|69=suj|70=suj|71=suj|72=suj|73=suj|74=suj|75=suj|76=suj|77=suj|78=suj|79=suj|80=suj|81=suj|82=suj|83=suj|84=suj|85=suj|86=suj|87=suj|88=suj|89=suj|90=suj|91=suj|92=suj	2=1|3=1|4=1|5=1|6=1|7=1|8=1|9=1|10=1|11=1|12=1|13=1|14=1|15=1|16=1|17=1|18=1|19=1|20=1|21=1|22=1|23=1|24=1|25=1|26=1|27=1|28=1|29=1|30=1|31=1|32=1|33=1|34=1|35=1|36=1|37=1|38=1|39=1|40=1|41=1|42=1|43=1|44=1|45=1|46=1|47=1|48=1|49=1|50=1|51=1|52=1|53=1|54=1|55=1|56=1|57=1|58=1|59=1|60=1|61=1|62=1|63=1|64=1|65=1|66=1|67=1|68=1|69=1|70=1|71=1|72=1|73=1|74=1|75=1|76=1|77=1|78=1|79=1|80=1|81=1|82=1|83=1|84=1|85=1|86=1|87=1|88=1|89=1|90=1|91=1|92=1
