ID	session	writer	n_event	st_time	end_time	pause	event	pos	doc_len	op	type_op	charID	charStatus	tokenID	token	lemma	POS	XPOS	ms	governor	function	sentence_id
.	0	2	1	21512	21637		l	0	0	1	keyboard	1	False	0=1	0=l	0=_	0=X	0=NC	0=	0=0	0=x	0=1
.	0	2	2	22558	22651	921	⌫	1	1	-1	keyboard	2	na	na	na	na	na	na	na	na	na	na
.	0	2	3	23384	23478	733	L	0	0	1	keyboard	3	False	2=2	2=LUJSN	2=_	2=X	2=NPP	2=	2=0	2=x	2=1
.	0	2	4	48360	48391	24882	U	1	1	1	keyboard	4	False	2=2	2=LUJSN	2=_	2=X	2=NPP	2=	2=0	2=x	2=1
.	0	2	5	48500	48578	109	J	2	2	1	keyboard	5	False	2=2	2=LUJSN	2=_	2=X	2=NPP	2=	2=0	2=x	2=1
.	0	2	6	48610	48688	32	S	3	3	1	keyboard	6	False	2=2	2=LUJSN	2=_	2=X	2=NPP	2=	2=0	2=x	2=1
.	0	2	7	48812	48875	124	N	4	4	1	keyboard	7	False	2=2	2=LUJSN	2=_	2=X	2=NPP	2=	2=0	2=x	2=1
.	0	2	8	48875	48890		?	5	5	1	keyboard	8	False	2=3	2=?	2=?	2=PONCT	2=PONCT	2=	2=2	2=ponct	2=1
.	0	2	9	49031	49093	141	/	6	6	1	keyboard	9	False	2=4	2=/	2=/	2=PONCT	2=PONCT	2=	2=2	2=ponct	2=1
.	0	2	10	49156	49265	63	S	7	7	1	keyboard	10	False	2=5	2=SBNMLKSYKL	2=_	2=X	2=NPP	2=	2=0	2=x	2=1
.	0	2	11	49374	49421	109	B	8	8	1	keyboard	11	False	2=5	2=SBNMLKSYKL	2=_	2=X	2=NPP	2=	2=0	2=x	2=1
.	0	2	12	49436	49452	15	N	9	9	1	keyboard	12	False	2=5	2=SBNMLKSYKL	2=_	2=X	2=NPP	2=	2=0	2=x	2=1
.	0	2	13	49624	49670	172	M	10	10	1	keyboard	13	False	2=5	2=SBNMLKSYKL	2=_	2=X	2=NPP	2=	2=0	2=x	2=1
.	0	2	14	49624	49764		L	11	11	1	keyboard	14	False	2=5	2=SBNMLKSYKL	2=_	2=X	2=NPP	2=	2=0	2=x	2=1
.	0	2	15	49717	49748		K	12	12	1	keyboard	15	False	2=5	2=SBNMLKSYKL	2=_	2=X	2=NPP	2=	2=0	2=x	2=1
.	0	2	16	49780	49858	32	S	13	13	1	keyboard	16	False	2=5	2=SBNMLKSYKL	2=_	2=X	2=NPP	2=	2=0	2=x	2=1
.	0	2	17	49998	50107	140	Y	14	14	1	keyboard	17	False	2=5	2=SBNMLKSYKL	2=_	2=X	2=NPP	2=	2=0	2=x	2=1
.	0	2	18	50138	50248	31	K	15	15	1	keyboard	18	False	2=5	2=SBNMLKSYKL	2=_	2=X	2=NPP	2=	2=0	2=x	2=1
.	0	2	19	50263	50388	15	L	16	16	1	keyboard	19	False	2=5	2=SBNMLKSYKL	2=_	2=X	2=NPP	2=	2=0	2=x	2=1
.	0	2	20	50294	50388		.	17	17	1	keyboard	20	False	2=6	2=.	2=.	2=PONCT	2=PONCT	2=	2=5	2=ponct	2=1
.	0	2	21	50450	50560	62	D	18	18	1	keyboard	21	False	2=7	2=DSMGYUJ	2=_	2=X	2=NC	2=	2=0	2=x	2=1
.	0	2	22	50466	50497		S	19	19	1	keyboard	22	False	2=7	2=DSMGYUJ	2=_	2=X	2=NC	2=	2=0	2=x	2=1
.	0	2	23	50497	50560		M	20	20	1	keyboard	23	False	2=7	2=DSMGYUJ	2=_	2=X	2=NC	2=	2=0	2=x	2=1
.	0	2	24	50560	50638		G	21	21	1	keyboard	24	False	2=7	2=DSMGYUJ	2=_	2=X	2=NC	2=	2=0	2=x	2=1
.	0	2	25	50716	50809	78	Y	22	22	1	keyboard	25	False	2=7	2=DSMGYUJ	2=_	2=X	2=NC	2=	2=0	2=x	2=1
.	0	2	26	50716	50825		U	23	23	1	keyboard	26	False	2=7	2=DSMGYUJ	2=_	2=X	2=NC	2=	2=0	2=x	2=1
.	0	2	27	50825	50840		J	24	24	1	keyboard	27	False	2=7	2=DSMGYUJ	2=_	2=X	2=NC	2=	2=0	2=x	2=1
.	0	2	28	51168	53227	328	⌫	25	25	-1	keyboard	28	na	na	na	na	na	na	na	na	na	na
.	0	2	28	51168	53227		⌫	24	24	-1	keyboard	29	na	na	na	na	na	na	na	na	na	na
.	0	2	28	51168	53227		⌫	23	23	-1	keyboard	30	na	na	na	na	na	na	na	na	na	na
