ID	session	writer	n_event	st_time	end_time	pause	event	pos	doc_len	op	type_op	charID	charStatus	tokenID	token	lemma	POS	XPOS	ms	governor	function	sentence_id
.	0	6	1	200399	200586		j	0	0	1	keyboard	1	True	0=1|1=1|2=1|3=1|4=1|5=1|6=1|7=1|8=1|9=1|10=1|11=1|12=1|13=1|14=1|15=1|16=1|17=1|18=1|19=1|20=1|21=1|22=1|23=1|24=1	0=je|1=je|2=je|3=je|4=je|5=je|6=je|7=je|8=je|9=je|10=je|11=je|12=je|13=je|14=je|15=je|16=je|17=je|18=je|19=je|20=je|21=je|22=je|23=je|24=je	0=je|1=je|2=je|3=je|4=je|5=je|6=je|7=je|8=je|9=je|10=je|11=je|12=je|13=je|14=je|15=je|16=je|17=je|18=je|19=je|20=je|21=je|22=je|23=je|24=je	0=CLS|1=CLS|2=CLS|3=CLS|4=CLS|5=CLS|6=CLS|7=CLS|8=CLS|9=CLS|10=CLS|11=CLS|12=CLS|13=CLS|14=CLS|15=CLS|16=CLS|17=CLS|18=CLS|19=CLS|20=CLS|21=CLS|22=CLS|23=CLS|24=CLS	0=CLS|1=CLS|2=CLS|3=CLS|4=CLS|5=CLS|6=CLS|7=CLS|8=CLS|9=CLS|10=CLS|11=CLS|12=CLS|13=CLS|14=CLS|15=CLS|16=CLS|17=CLS|18=CLS|19=CLS|20=CLS|21=CLS|22=CLS|23=CLS|24=CLS	0=n=s|p=1|1=n=s|p=1|2=n=s|p=1|3=n=s|p=1|4=n=s|p=1|5=n=s|p=1|6=n=s|p=1|7=n=s|p=1|8=n=s|p=1|9=n=s|p=1|10=n=s|p=1|11=n=s|p=1|12=n=s|p=1|13=n=s|p=1|14=n=s|p=1|15=n=s|p=1|16=n=s|p=1|17=n=s|p=1|18=n=s|p=1|19=n=s|p=1|20=n=s|p=1|21=n=s|p=1|22=n=s|p=1|23=n=s|p=1|24=n=s|p=1	0=2|1=2|2=2|3=2|4=2|5=2|6=2|7=2|8=2|9=2|10=2|11=2|12=2|13=2|14=2|15=2|16=2|17=2|18=2|19=2|20=2|21=2|22=2|23=2|24=2	0=suj|1=suj|2=suj|3=suj|4=suj|5=suj|6=suj|7=suj|8=suj|9=suj|10=suj|11=suj|12=suj|13=suj|14=suj|15=suj|16=suj|17=suj|18=suj|19=suj|20=suj|21=suj|22=suj|23=suj|24=suj	0=1|1=1|2=1|3=1|4=1|5=1|6=1|7=1|8=1|9=1|10=1|11=1|12=1|13=1|14=1|15=1|16=1|17=1|18=1|19=1|20=1|21=1|22=1|23=1|24=1
.	0	6	2	200711	200898	125	e	1	1	1	keyboard	2	True	0=1|1=1|2=1|3=1|4=1|5=1|6=1|7=1|8=1|9=1|10=1|11=1|12=1|13=1|14=1|15=1|16=1|17=1|18=1|19=1|20=1|21=1|22=1|23=1|24=1	0=je|1=je|2=je|3=je|4=je|5=je|6=je|7=je|8=je|9=je|10=je|11=je|12=je|13=je|14=je|15=je|16=je|17=je|18=je|19=je|20=je|21=je|22=je|23=je|24=je	0=je|1=je|2=je|3=je|4=je|5=je|6=je|7=je|8=je|9=je|10=je|11=je|12=je|13=je|14=je|15=je|16=je|17=je|18=je|19=je|20=je|21=je|22=je|23=je|24=je	0=CLS|1=CLS|2=CLS|3=CLS|4=CLS|5=CLS|6=CLS|7=CLS|8=CLS|9=CLS|10=CLS|11=CLS|12=CLS|13=CLS|14=CLS|15=CLS|16=CLS|17=CLS|18=CLS|19=CLS|20=CLS|21=CLS|22=CLS|23=CLS|24=CLS	0=CLS|1=CLS|2=CLS|3=CLS|4=CLS|5=CLS|6=CLS|7=CLS|8=CLS|9=CLS|10=CLS|11=CLS|12=CLS|13=CLS|14=CLS|15=CLS|16=CLS|17=CLS|18=CLS|19=CLS|20=CLS|21=CLS|22=CLS|23=CLS|24=CLS	0=n=s|p=1|1=n=s|p=1|2=n=s|p=1|3=n=s|p=1|4=n=s|p=1|5=n=s|p=1|6=n=s|p=1|7=n=s|p=1|8=n=s|p=1|9=n=s|p=1|10=n=s|p=1|11=n=s|p=1|12=n=s|p=1|13=n=s|p=1|14=n=s|p=1|15=n=s|p=1|16=n=s|p=1|17=n=s|p=1|18=n=s|p=1|19=n=s|p=1|20=n=s|p=1|21=n=s|p=1|22=n=s|p=1|23=n=s|p=1|24=n=s|p=1	0=2|1=2|2=2|3=2|4=2|5=2|6=2|7=2|8=2|9=2|10=2|11=2|12=2|13=2|14=2|15=2|16=2|17=2|18=2|19=2|20=2|21=2|22=2|23=2|24=2	0=suj|1=suj|2=suj|3=suj|4=suj|5=suj|6=suj|7=suj|8=suj|9=suj|10=suj|11=suj|12=suj|13=suj|14=suj|15=suj|16=suj|17=suj|18=suj|19=suj|20=suj|21=suj|22=suj|23=suj|24=suj	0=1|1=1|2=1|3=1|4=1|5=1|6=1|7=1|8=1|9=1|10=1|11=1|12=1|13=1|14=1|15=1|16=1|17=1|18=1|19=1|20=1|21=1|22=1|23=1|24=1
.	0	6	3	202333	202442	1435	␣	2	2	1	keyboard	3	True	na	na	na	na	na	na	na	na	na
.	0	6	4	202520	202630	78	␣	3	3	1	keyboard	4	True	na	na	na	na	na	na	na	na	na
.	0	6	5	207044	207200	4414	p	4	4	1	keyboard	5	True	0=2|1=2|2=2|3=2|4=2|5=2|6=2|7=2|8=2|9=2|10=2|11=2|12=2|13=2|14=2|15=2|16=2|17=2|18=2|19=2|20=2|21=2|22=2|23=2|24=2	0=pense|1=pense|2=pense|3=pense|4=pense|5=pense|6=pense|7=pense|8=pense|9=pense|10=pense|11=pense|12=pense|13=pense|14=pense|15=pense|16=pense|17=pense|18=pense|19=pense|20=pense|21=pense|22=pense|23=pense|24=pense	0=penser|1=penser|2=penser|3=penser|4=penser|5=penser|6=penser|7=penser|8=penser|9=penser|10=penser|11=penser|12=penser|13=penser|14=penser|15=penser|16=penser|17=penser|18=penser|19=penser|20=penser|21=penser|22=penser|23=penser|24=penser	0=V|1=V|2=V|3=V|4=V|5=V|6=V|7=V|8=V|9=V|10=V|11=V|12=V|13=V|14=V|15=V|16=V|17=V|18=V|19=V|20=V|21=V|22=V|23=V|24=V	0=V|1=V|2=V|3=V|4=V|5=V|6=V|7=V|8=V|9=V|10=V|11=V|12=V|13=V|14=V|15=V|16=V|17=V|18=V|19=V|20=V|21=V|22=V|23=V|24=V	0=n=s|t=P,S|p=1,3|1=n=s|t=P,S|p=1,3|2=n=s|t=P,S|p=1,3|3=n=s|t=P,S|p=1,3|4=n=s|t=P,S|p=1,3|5=n=s|t=P,S|p=1,3|6=n=s|t=P,S|p=1,3|7=n=s|t=P,S|p=1,3|8=n=s|t=P,S|p=1,3|9=n=s|t=P,S|p=1,3|10=n=s|t=P,S|p=1,3|11=n=s|t=P,S|p=1,3|12=n=s|t=P,S|p=1,3|13=n=s|t=P,S|p=1,3|14=n=s|t=P,S|p=1,3|15=n=s|t=P,S|p=1,3|16=n=s|t=P,S|p=1,3|17=n=s|t=P,S|p=1,3|18=n=s|t=P,S|p=1,3|19=n=s|t=P,S|p=1,3|20=n=s|t=P,S|p=1,3|21=n=s|t=P,S|p=1,3|22=n=s|t=P,S|p=1,3|23=n=s|t=P,S|p=1,3|24=n=s|t=P,S|p=1,3	0=0|1=0|2=0|3=0|4=0|5=0|6=0|7=0|8=0|9=0|10=0|11=0|12=0|13=0|14=0|15=0|16=0|17=0|18=0|19=0|20=0|21=0|22=0|23=0|24=0	0=root|1=root|2=root|3=root|4=root|5=root|6=root|7=root|8=root|9=root|10=root|11=root|12=root|13=root|14=root|15=root|16=root|17=root|18=root|19=root|20=root|21=root|22=root|23=root|24=root	0=1|1=1|2=1|3=1|4=1|5=1|6=1|7=1|8=1|9=1|10=1|11=1|12=1|13=1|14=1|15=1|16=1|17=1|18=1|19=1|20=1|21=1|22=1|23=1|24=1
.	0	6	6	207918	208043	718	e	5	5	1	keyboard	6	True	0=2|1=2|2=2|3=2|4=2|5=2|6=2|7=2|8=2|9=2|10=2|11=2|12=2|13=2|14=2|15=2|16=2|17=2|18=2|19=2|20=2|21=2|22=2|23=2|24=2	0=pense|1=pense|2=pense|3=pense|4=pense|5=pense|6=pense|7=pense|8=pense|9=pense|10=pense|11=pense|12=pense|13=pense|14=pense|15=pense|16=pense|17=pense|18=pense|19=pense|20=pense|21=pense|22=pense|23=pense|24=pense	0=penser|1=penser|2=penser|3=penser|4=penser|5=penser|6=penser|7=penser|8=penser|9=penser|10=penser|11=penser|12=penser|13=penser|14=penser|15=penser|16=penser|17=penser|18=penser|19=penser|20=penser|21=penser|22=penser|23=penser|24=penser	0=V|1=V|2=V|3=V|4=V|5=V|6=V|7=V|8=V|9=V|10=V|11=V|12=V|13=V|14=V|15=V|16=V|17=V|18=V|19=V|20=V|21=V|22=V|23=V|24=V	0=V|1=V|2=V|3=V|4=V|5=V|6=V|7=V|8=V|9=V|10=V|11=V|12=V|13=V|14=V|15=V|16=V|17=V|18=V|19=V|20=V|21=V|22=V|23=V|24=V	0=n=s|t=P,S|p=1,3|1=n=s|t=P,S|p=1,3|2=n=s|t=P,S|p=1,3|3=n=s|t=P,S|p=1,3|4=n=s|t=P,S|p=1,3|5=n=s|t=P,S|p=1,3|6=n=s|t=P,S|p=1,3|7=n=s|t=P,S|p=1,3|8=n=s|t=P,S|p=1,3|9=n=s|t=P,S|p=1,3|10=n=s|t=P,S|p=1,3|11=n=s|t=P,S|p=1,3|12=n=s|t=P,S|p=1,3|13=n=s|t=P,S|p=1,3|14=n=s|t=P,S|p=1,3|15=n=s|t=P,S|p=1,3|16=n=s|t=P,S|p=1,3|17=n=s|t=P,S|p=1,3|18=n=s|t=P,S|p=1,3|19=n=s|t=P,S|p=1,3|20=n=s|t=P,S|p=1,3|21=n=s|t=P,S|p=1,3|22=n=s|t=P,S|p=1,3|23=n=s|t=P,S|p=1,3|24=n=s|t=P,S|p=1,3	0=0|1=0|2=0|3=0|4=0|5=0|6=0|7=0|8=0|9=0|10=0|11=0|12=0|13=0|14=0|15=0|16=0|17=0|18=0|19=0|20=0|21=0|22=0|23=0|24=0	0=root|1=root|2=root|3=root|4=root|5=root|6=root|7=root|8=root|9=root|10=root|11=root|12=root|13=root|14=root|15=root|16=root|17=root|18=root|19=root|20=root|21=root|22=root|23=root|24=root	0=1|1=1|2=1|3=1|4=1|5=1|6=1|7=1|8=1|9=1|10=1|11=1|12=1|13=1|14=1|15=1|16=1|17=1|18=1|19=1|20=1|21=1|22=1|23=1|24=1
.	0	6	7	211553	211662	3510	n	6	6	1	keyboard	7	True	0=2|1=2|2=2|3=2|4=2|5=2|6=2|7=2|8=2|9=2|10=2|11=2|12=2|13=2|14=2|15=2|16=2|17=2|18=2|19=2|20=2|21=2|22=2|23=2|24=2	0=pense|1=pense|2=pense|3=pense|4=pense|5=pense|6=pense|7=pense|8=pense|9=pense|10=pense|11=pense|12=pense|13=pense|14=pense|15=pense|16=pense|17=pense|18=pense|19=pense|20=pense|21=pense|22=pense|23=pense|24=pense	0=penser|1=penser|2=penser|3=penser|4=penser|5=penser|6=penser|7=penser|8=penser|9=penser|10=penser|11=penser|12=penser|13=penser|14=penser|15=penser|16=penser|17=penser|18=penser|19=penser|20=penser|21=penser|22=penser|23=penser|24=penser	0=V|1=V|2=V|3=V|4=V|5=V|6=V|7=V|8=V|9=V|10=V|11=V|12=V|13=V|14=V|15=V|16=V|17=V|18=V|19=V|20=V|21=V|22=V|23=V|24=V	0=V|1=V|2=V|3=V|4=V|5=V|6=V|7=V|8=V|9=V|10=V|11=V|12=V|13=V|14=V|15=V|16=V|17=V|18=V|19=V|20=V|21=V|22=V|23=V|24=V	0=n=s|t=P,S|p=1,3|1=n=s|t=P,S|p=1,3|2=n=s|t=P,S|p=1,3|3=n=s|t=P,S|p=1,3|4=n=s|t=P,S|p=1,3|5=n=s|t=P,S|p=1,3|6=n=s|t=P,S|p=1,3|7=n=s|t=P,S|p=1,3|8=n=s|t=P,S|p=1,3|9=n=s|t=P,S|p=1,3|10=n=s|t=P,S|p=1,3|11=n=s|t=P,S|p=1,3|12=n=s|t=P,S|p=1,3|13=n=s|t=P,S|p=1,3|14=n=s|t=P,S|p=1,3|15=n=s|t=P,S|p=1,3|16=n=s|t=P,S|p=1,3|17=n=s|t=P,S|p=1,3|18=n=s|t=P,S|p=1,3|19=n=s|t=P,S|p=1,3|20=n=s|t=P,S|p=1,3|21=n=s|t=P,S|p=1,3|22=n=s|t=P,S|p=1,3|23=n=s|t=P,S|p=1,3|24=n=s|t=P,S|p=1,3	0=0|1=0|2=0|3=0|4=0|5=0|6=0|7=0|8=0|9=0|10=0|11=0|12=0|13=0|14=0|15=0|16=0|17=0|18=0|19=0|20=0|21=0|22=0|23=0|24=0	0=root|1=root|2=root|3=root|4=root|5=root|6=root|7=root|8=root|9=root|10=root|11=root|12=root|13=root|14=root|15=root|16=root|17=root|18=root|19=root|20=root|21=root|22=root|23=root|24=root	0=1|1=1|2=1|3=1|4=1|5=1|6=1|7=1|8=1|9=1|10=1|11=1|12=1|13=1|14=1|15=1|16=1|17=1|18=1|19=1|20=1|21=1|22=1|23=1|24=1
.	0	6	8	213596	213674	1934	s	7	7	1	keyboard	8	True	0=2|1=2|2=2|3=2|4=2|5=2|6=2|7=2|8=2|9=2|10=2|11=2|12=2|13=2|14=2|15=2|16=2|17=2|18=2|19=2|20=2|21=2|22=2|23=2|24=2	0=pense|1=pense|2=pense|3=pense|4=pense|5=pense|6=pense|7=pense|8=pense|9=pense|10=pense|11=pense|12=pense|13=pense|14=pense|15=pense|16=pense|17=pense|18=pense|19=pense|20=pense|21=pense|22=pense|23=pense|24=pense	0=penser|1=penser|2=penser|3=penser|4=penser|5=penser|6=penser|7=penser|8=penser|9=penser|10=penser|11=penser|12=penser|13=penser|14=penser|15=penser|16=penser|17=penser|18=penser|19=penser|20=penser|21=penser|22=penser|23=penser|24=penser	0=V|1=V|2=V|3=V|4=V|5=V|6=V|7=V|8=V|9=V|10=V|11=V|12=V|13=V|14=V|15=V|16=V|17=V|18=V|19=V|20=V|21=V|22=V|23=V|24=V	0=V|1=V|2=V|3=V|4=V|5=V|6=V|7=V|8=V|9=V|10=V|11=V|12=V|13=V|14=V|15=V|16=V|17=V|18=V|19=V|20=V|21=V|22=V|23=V|24=V	0=n=s|t=P,S|p=1,3|1=n=s|t=P,S|p=1,3|2=n=s|t=P,S|p=1,3|3=n=s|t=P,S|p=1,3|4=n=s|t=P,S|p=1,3|5=n=s|t=P,S|p=1,3|6=n=s|t=P,S|p=1,3|7=n=s|t=P,S|p=1,3|8=n=s|t=P,S|p=1,3|9=n=s|t=P,S|p=1,3|10=n=s|t=P,S|p=1,3|11=n=s|t=P,S|p=1,3|12=n=s|t=P,S|p=1,3|13=n=s|t=P,S|p=1,3|14=n=s|t=P,S|p=1,3|15=n=s|t=P,S|p=1,3|16=n=s|t=P,S|p=1,3|17=n=s|t=P,S|p=1,3|18=n=s|t=P,S|p=1,3|19=n=s|t=P,S|p=1,3|20=n=s|t=P,S|p=1,3|21=n=s|t=P,S|p=1,3|22=n=s|t=P,S|p=1,3|23=n=s|t=P,S|p=1,3|24=n=s|t=P,S|p=1,3	0=0|1=0|2=0|3=0|4=0|5=0|6=0|7=0|8=0|9=0|10=0|11=0|12=0|13=0|14=0|15=0|16=0|17=0|18=0|19=0|20=0|21=0|22=0|23=0|24=0	0=root|1=root|2=root|3=root|4=root|5=root|6=root|7=root|8=root|9=root|10=root|11=root|12=root|13=root|14=root|15=root|16=root|17=root|18=root|19=root|20=root|21=root|22=root|23=root|24=root	0=1|1=1|2=1|3=1|4=1|5=1|6=1|7=1|8=1|9=1|10=1|11=1|12=1|13=1|14=1|15=1|16=1|17=1|18=1|19=1|20=1|21=1|22=1|23=1|24=1
.	0	6	9	213908	214049	234	e	8	8	1	keyboard	9	True	0=2|1=2|2=2|3=2|4=2|5=2|6=2|7=2|8=2|9=2|10=2|11=2|12=2|13=2|14=2|15=2|16=2|17=2|18=2|19=2|20=2|21=2|22=2|23=2|24=2	0=pense|1=pense|2=pense|3=pense|4=pense|5=pense|6=pense|7=pense|8=pense|9=pense|10=pense|11=pense|12=pense|13=pense|14=pense|15=pense|16=pense|17=pense|18=pense|19=pense|20=pense|21=pense|22=pense|23=pense|24=pense	0=penser|1=penser|2=penser|3=penser|4=penser|5=penser|6=penser|7=penser|8=penser|9=penser|10=penser|11=penser|12=penser|13=penser|14=penser|15=penser|16=penser|17=penser|18=penser|19=penser|20=penser|21=penser|22=penser|23=penser|24=penser	0=V|1=V|2=V|3=V|4=V|5=V|6=V|7=V|8=V|9=V|10=V|11=V|12=V|13=V|14=V|15=V|16=V|17=V|18=V|19=V|20=V|21=V|22=V|23=V|24=V	0=V|1=V|2=V|3=V|4=V|5=V|6=V|7=V|8=V|9=V|10=V|11=V|12=V|13=V|14=V|15=V|16=V|17=V|18=V|19=V|20=V|21=V|22=V|23=V|24=V	0=n=s|t=P,S|p=1,3|1=n=s|t=P,S|p=1,3|2=n=s|t=P,S|p=1,3|3=n=s|t=P,S|p=1,3|4=n=s|t=P,S|p=1,3|5=n=s|t=P,S|p=1,3|6=n=s|t=P,S|p=1,3|7=n=s|t=P,S|p=1,3|8=n=s|t=P,S|p=1,3|9=n=s|t=P,S|p=1,3|10=n=s|t=P,S|p=1,3|11=n=s|t=P,S|p=1,3|12=n=s|t=P,S|p=1,3|13=n=s|t=P,S|p=1,3|14=n=s|t=P,S|p=1,3|15=n=s|t=P,S|p=1,3|16=n=s|t=P,S|p=1,3|17=n=s|t=P,S|p=1,3|18=n=s|t=P,S|p=1,3|19=n=s|t=P,S|p=1,3|20=n=s|t=P,S|p=1,3|21=n=s|t=P,S|p=1,3|22=n=s|t=P,S|p=1,3|23=n=s|t=P,S|p=1,3|24=n=s|t=P,S|p=1,3	0=0|1=0|2=0|3=0|4=0|5=0|6=0|7=0|8=0|9=0|10=0|11=0|12=0|13=0|14=0|15=0|16=0|17=0|18=0|19=0|20=0|21=0|22=0|23=0|24=0	0=root|1=root|2=root|3=root|4=root|5=root|6=root|7=root|8=root|9=root|10=root|11=root|12=root|13=root|14=root|15=root|16=root|17=root|18=root|19=root|20=root|21=root|22=root|23=root|24=root	0=1|1=1|2=1|3=1|4=1|5=1|6=1|7=1|8=1|9=1|10=1|11=1|12=1|13=1|14=1|15=1|16=1|17=1|18=1|19=1|20=1|21=1|22=1|23=1|24=1
.	0	6	10	215141	215593	1092	␣	9	9	1	keyboard	10	True	na	na	na	na	na	na	na	na	na
