ID	session	writer	n_event	st_time	end_time	pause	event	pos	doc_len	op	type_op	charID	charStatus	tokenID	token	lemma	POS	XPOS	ms	governor	function	sentence_id
.	0	2	1	144815	145549		i	0	0	1	keyboard	1	False	0=1	0=i	0=_	0=X	0=NC	0=	0=0	0=x	0=1
.	0	2	2	148247	148325	2698	⌫	1	1	-1	keyboard	2	na	na	na	na	na	na	na	na	na	na
.	0	2	3	149277	150307	952	i	0	0	1	keyboard	3	False	2=2	2=i	2=_	2=X	2=NC	2=	2=0	2=x	2=1
.	0	2	4	152615	152803	2308	⌫	1	1	-1	keyboard	4	na	na	na	na	na	na	na	na	na	na
.	0	2	5	154503	155579	1700	i	0	0	1	keyboard	5	False	4=3	4=iiiiiiiiii	4=_	4=X	4=NC	4=	4=0	4=x	4=1
.	0	2	6	156079	156079	500	i	1	1	1	keyboard	6	False	4=3	4=iiiiiiiiii	4=_	4=X	4=NC	4=	4=0	4=x	4=1
.	0	2	7	156125	156125	46	i	2	2	1	keyboard	7	False	4=3	4=iiiiiiiiii	4=_	4=X	4=NC	4=	4=0	4=x	4=1
.	0	2	8	156157	156157	32	i	3	3	1	keyboard	8	False	4=3	4=iiiiiiiiii	4=_	4=X	4=NC	4=	4=0	4=x	4=1
.	0	2	9	156203	156203	46	i	4	4	1	keyboard	9	False	4=3	4=iiiiiiiiii	4=_	4=X	4=NC	4=	4=0	4=x	4=1
.	0	2	10	156235	156235	32	i	5	5	1	keyboard	10	False	4=3	4=iiiiiiiiii	4=_	4=X	4=NC	4=	4=0	4=x	4=1
.	0	2	11	156281	156281	46	i	6	6	1	keyboard	11	False	4=3	4=iiiiiiiiii	4=_	4=X	4=NC	4=	4=0	4=x	4=1
.	0	2	12	156328	156328	47	i	7	7	1	keyboard	12	False	4=3	4=iiiiiiiiii	4=_	4=X	4=NC	4=	4=0	4=x	4=1
.	0	2	13	156359	156359	31	i	8	8	1	keyboard	13	False	4=3	4=iiiiiiiiii	4=_	4=X	4=NC	4=	4=0	4=x	4=1
.	0	2	14	156406	156422	47	i	9	9	1	keyboard	14	False	4=3	4=iiiiiiiiii	4=_	4=X	4=NC	4=	4=0	4=x	4=1
.	0	2	15	157436	158465	1014	⌫	10	10	-1	keyboard	15	na	na	na	na	na	na	na	na	na	na
.	0	2	15	157436	158465		⌫	9	9	-1	keyboard	16	na	na	na	na	na	na	na	na	na	na
.	0	2	15	157436	158465		⌫	8	8	-1	keyboard	17	na	na	na	na	na	na	na	na	na	na
.	0	2	15	157436	158465		⌫	7	7	-1	keyboard	18	na	na	na	na	na	na	na	na	na	na
.	0	2	15	157436	158465		⌫	6	6	-1	keyboard	19	na	na	na	na	na	na	na	na	na	na
.	0	2	15	157436	158465		⌫	5	5	-1	keyboard	20	na	na	na	na	na	na	na	na	na	na
.	0	2	15	157436	158465		⌫	4	4	-1	keyboard	21	na	na	na	na	na	na	na	na	na	na
.	0	2	15	157436	158465		⌫	3	3	-1	keyboard	22	na	na	na	na	na	na	na	na	na	na
.	0	2	15	157436	158465		⌫	2	2	-1	keyboard	23	na	na	na	na	na	na	na	na	na	na
.	0	2	15	157436	158465		⌫	1	1	-1	keyboard	24	na	na	na	na	na	na	na	na	na	na
.	0	2	16	159386	160883	921	i	0	0	1	keyboard	25	False	6=4	6=i	6=_	6=X	6=NC	6=	6=0	6=x	6=1
.	0	2	17	162007	162163	1124	⌫	1	1	-1	keyboard	26	na	na	na	na	na	na	na	na	na	na
.	0	2	18	163754	164050	1591	i	0	0	1	keyboard	27	False	8=5	8=iL	8=il	8=CLS	8=NC	8=	8=0	8=x	8=1
.	0	2	19	166827	166921	2777	L	1	1	1	keyboard	28	False	8=5	8=iL	8=il	8=CLS	8=NC	8=	8=0	8=x	8=1
.	0	2	20	171835	171991	4914	⌫	2	2	-1	keyboard	29	na	na	na	na	na	na	na	na	na	na
.	0	2	21	172162	172349	171	⌫	1	1	-1	keyboard	30	na	na	na	na	na	na	na	na	na	na
.	0	2	22	173613	173707	1264	I	0	0	1	keyboard	31	False	10=6|11=7|12=8	10=IL|11=I|12=IL	10=il|11=_|12=il	10=CLS|11=X|12=CLS	10=CLS|11=NC|12=CLS	10=n=s|g=m|p=3|11=|12=n=s|g=m|p=3	10=0|11=0|12=0	10=x|11=x|12=x	10=1|11=1|12=1
.	0	2	23	174861	175002	1154	L	1	1	1	keyboard	32	False	10=6	10=IL	10=il	10=CLS	10=CLS	10=n=s|g=m|p=3	10=0	10=x	10=1
.	0	2	24	177825	177966	2823	⌫	2	2	-1	keyboard	33	na	na	na	na	na	na	na	na	na	na
.	0	2	25	179198	180696	1232	L	1	1	1	keyboard	34	False	12=8	12=IL	12=il	12=CLS	12=CLS	12=n=s|g=m|p=3	12=0	12=x	12=1
.	0	2	26	186031	186889	5335	⌫	2	2	-1	keyboard	35	na	na	na	na	na	na	na	na	na	na
.	0	2	26	186031	186889		⌫	1	1	-1	keyboard	36	na	na	na	na	na	na	na	na	na	na
.	0	2	27	204891	204923	18002	I	0	0	1	keyboard	37	False	14=9	14=IL	14=il	14=CLS	14=CLS	14=n=s|g=m|p=3	14=10	14=suj_impers	14=1
.	0	2	28	205391	205453	468	L	1	1	1	keyboard	38	False	14=9	14=IL	14=il	14=CLS	14=CLS	14=n=s|g=m|p=3	14=10	14=suj_impers	14=1
.	0	2	29	207278	207325	1825	␣	2	2	1	keyboard	39	False	na	na	na	na	na	na	na	na	na
.	0	2	30	214657	214735	7332	Y	3	3	1	keyboard	40	False	14=10	14=YA	14=_	14=_	14=V	14=	14=0	14=root	14=1
