ID	session	writer	n_event	st_time	end_time	pause	event	pos	doc_len	op	type_op	charID	charStatus	tokenID	token	lemma	POS	XPOS	ms	governor	function	sentence_id
.	0	6	1	83335	83413		n	0	0	1	keyboard	1	False	0=1	0=n	0=_	0=X	0=NC	0=	0=0	0=x	0=1
.	0	6	2	84677	84802	1264	⌫	1	1	-1	keyboard	2	na	na	na	na	na	na	na	na	na	na
.	0	6	3	87891	88000	3089	N	0	0	1	keyboard	3	False	2=2	2=N	2=_	2=X	2=NC	2=	2=0	2=x	2=1
.	0	6	4	90995	91089	2995	⌫	1	1	-1	keyboard	4	na	na	na	na	na	na	na	na	na	na
.	0	6	5	95628	95737	4539	n	0	0	1	keyboard	5	False	4=3	4=n	4=_	4=X	4=NC	4=	4=0	4=x	4=1
.	0	6	6	98109	98249	2372	⌫	1	1	-1	keyboard	6	na	na	na	na	na	na	na	na	na	na
.	0	6	7	108202	108311	9953	N	0	0	1	keyboard	7	False	6=4|7=5|8=6|9=6|10=6|11=6|12=6	6=Neila|7=Nei|8=Neiela|9=Neiela|10=Neiela|11=Neiela|12=Neiela	6=Neila|7=_|8=Neiela|9=Neiela|10=Neiela|11=Neiela|12=Neiela	6=NPP|7=X|8=NPP|9=NPP|10=NPP|11=NPP|12=NPP	6=NPP|7=NC|8=NPP|9=NPP|10=NPP|11=NPP|12=NPP	6=|7=|8=|9=|10=|11=|12=	6=0|7=0|8=0|9=0|10=0|11=0|12=0	6=x|7=x|8=x|9=x|10=x|11=x|12=x	6=1|7=1|8=1|9=1|10=1|11=1|12=1
.	0	6	8	122024	122086	13713	e	1	1	1	keyboard	8	False	6=4|7=5|8=6|9=6|10=6|11=6|12=6	6=Neila|7=Nei|8=Neiela|9=Neiela|10=Neiela|11=Neiela|12=Neiela	6=Neila|7=_|8=Neiela|9=Neiela|10=Neiela|11=Neiela|12=Neiela	6=NPP|7=X|8=NPP|9=NPP|10=NPP|11=NPP|12=NPP	6=NPP|7=NC|8=NPP|9=NPP|10=NPP|11=NPP|12=NPP	6=|7=|8=|9=|10=|11=|12=	6=0|7=0|8=0|9=0|10=0|11=0|12=0	6=x|7=x|8=x|9=x|10=x|11=x|12=x	6=1|7=1|8=1|9=1|10=1|11=1|12=1
.	0	6	9	122679	122726	593	i	2	2	1	keyboard	9	False	6=4|7=5|8=6|9=6|10=6|11=6|12=6	6=Neila|7=Nei|8=Neiela|9=Neiela|10=Neiela|11=Neiela|12=Neiela	6=Neila|7=_|8=Neiela|9=Neiela|10=Neiela|11=Neiela|12=Neiela	6=NPP|7=X|8=NPP|9=NPP|10=NPP|11=NPP|12=NPP	6=NPP|7=NC|8=NPP|9=NPP|10=NPP|11=NPP|12=NPP	6=|7=|8=|9=|10=|11=|12=	6=0|7=0|8=0|9=0|10=0|11=0|12=0	6=x|7=x|8=x|9=x|10=x|11=x|12=x	6=1|7=1|8=1|9=1|10=1|11=1|12=1
.	0	6	10	125159	125206	2433	l	3	3	1	keyboard	10	False	6=4	6=Neila	6=Neila	6=NPP	6=NPP	6=	6=0	6=x	6=1
.	0	6	11	125814	125877	608	a	4	4	1	keyboard	11	False	6=4	6=Neila	6=Neila	6=NPP	6=NPP	6=	6=0	6=x	6=1
.	0	6	12	131976	132070	6099	⌫	5	5	-1	keyboard	12	na	na	na	na	na	na	na	na	na	na
.	0	6	13	132476	132569	406	⌫	4	4	-1	keyboard	13	na	na	na	na	na	na	na	na	na	na
.	0	6	14	134394	134457	1825	e	3	3	1	keyboard	14	False	8=6|9=6|10=6|11=6|12=6	8=Neiela|9=Neiela|10=Neiela|11=Neiela|12=Neiela	8=Neiela|9=Neiela|10=Neiela|11=Neiela|12=Neiela	8=NPP|9=NPP|10=NPP|11=NPP|12=NPP	8=NPP|9=NPP|10=NPP|11=NPP|12=NPP	8=|9=|10=|11=|12=	8=0|9=0|10=0|11=0|12=0	8=x|9=x|10=x|11=x|12=x	8=1|9=1|10=1|11=1|12=1
.	0	6	15	136142	136157	1685	l	4	4	1	keyboard	15	False	8=6|9=6|10=6|11=6|12=6	8=Neiela|9=Neiela|10=Neiela|11=Neiela|12=Neiela	8=Neiela|9=Neiela|10=Neiela|11=Neiela|12=Neiela	8=NPP|9=NPP|10=NPP|11=NPP|12=NPP	8=NPP|9=NPP|10=NPP|11=NPP|12=NPP	8=|9=|10=|11=|12=	8=0|9=0|10=0|11=0|12=0	8=x|9=x|10=x|11=x|12=x	8=1|9=1|10=1|11=1|12=1
.	0	6	16	136734	136781	577	a	5	5	1	keyboard	16	False	8=6|9=6|10=6|11=6|12=6	8=Neiela|9=Neiela|10=Neiela|11=Neiela|12=Neiela	8=Neiela|9=Neiela|10=Neiela|11=Neiela|12=Neiela	8=NPP|9=NPP|10=NPP|11=NPP|12=NPP	8=NPP|9=NPP|10=NPP|11=NPP|12=NPP	8=|9=|10=|11=|12=	8=0|9=0|10=0|11=0|12=0	8=x|9=x|10=x|11=x|12=x	8=1|9=1|10=1|11=1|12=1
.	0	6	17	138716	138825	1935	␣	6	6	1	keyboard	17	False	na	na	na	na	na	na	na	na	na
.	0	6	18	156328	156422	17503	e	7	7	1	keyboard	18	False	8=7|9=8|10=7|11=8|12=8	8=etlorine|9=et|10=etlorine|11=et|12=et	8=et_Lorine|9=et|10=et_Lorine|11=et|12=et	8=CC|9=CC|10=CC|11=CC|12=CC	8=NPP|9=CC|10=NPP|11=CC|12=CC	8=|9=|10=|11=|12=	8=6|9=6|10=6|11=6|12=6	8=coord|9=coord|10=coord|11=coord|12=coord	8=1|9=1|10=1|11=1|12=1
.	0	6	19	156640	156687	218	t	8	8	1	keyboard	19	False	8=7|9=8|10=7|11=8|12=8	8=etlorine|9=et|10=etlorine|11=et|12=et	8=et_Lorine|9=et|10=et_Lorine|11=et|12=et	8=CC|9=CC|10=CC|11=CC|12=CC	8=NPP|9=CC|10=NPP|11=CC|12=CC	8=|9=|10=|11=|12=	8=6|9=6|10=6|11=6|12=6	8=coord|9=coord|10=coord|11=coord|12=coord	8=1|9=1|10=1|11=1|12=1
.	0	6	20	157701	157748	1014	l	9	9	1	keyboard	20	False	8=7|9=9|10=7|11=9|12=9	8=etlorine|9=lorine|10=etlorine|11=lorine|12=lorine	8=et_Lorine|9=Lorine|10=et_Lorine|11=Lorine|12=Lorine	8=CC|9=NPP|10=CC|11=NPP|12=NPP	8=NPP|9=NC|10=NPP|11=NC|12=NC	8=|9=|10=|11=|12=	8=6|9=8|10=6|11=8|12=8	8=coord|9=dep_coord|10=coord|11=dep_coord|12=dep_coord	8=1|9=1|10=1|11=1|12=1
.	0	6	21	158231	158263	483	o	10	10	1	keyboard	21	False	8=7|9=9|10=7|11=9|12=9	8=etlorine|9=lorine|10=etlorine|11=lorine|12=lorine	8=et_Lorine|9=Lorine|10=et_Lorine|11=Lorine|12=Lorine	8=CC|9=NPP|10=CC|11=NPP|12=NPP	8=NPP|9=NC|10=NPP|11=NC|12=NC	8=|9=|10=|11=|12=	8=6|9=8|10=6|11=8|12=8	8=coord|9=dep_coord|10=coord|11=dep_coord|12=dep_coord	8=1|9=1|10=1|11=1|12=1
.	0	6	22	162833	162880	4570	r	11	11	1	keyboard	22	False	8=7|9=9|10=7|11=9|12=9	8=etlorine|9=lorine|10=etlorine|11=lorine|12=lorine	8=et_Lorine|9=Lorine|10=et_Lorine|11=Lorine|12=Lorine	8=CC|9=NPP|10=CC|11=NPP|12=NPP	8=NPP|9=NC|10=NPP|11=NC|12=NC	8=|9=|10=|11=|12=	8=6|9=8|10=6|11=8|12=8	8=coord|9=dep_coord|10=coord|11=dep_coord|12=dep_coord	8=1|9=1|10=1|11=1|12=1
.	0	6	23	163832	163894	952	i	12	12	1	keyboard	23	False	8=7|9=9|10=7|11=9|12=9	8=etlorine|9=lorine|10=etlorine|11=lorine|12=lorine	8=et_Lorine|9=Lorine|10=et_Lorine|11=Lorine|12=Lorine	8=CC|9=NPP|10=CC|11=NPP|12=NPP	8=NPP|9=NC|10=NPP|11=NC|12=NC	8=|9=|10=|11=|12=	8=6|9=8|10=6|11=8|12=8	8=coord|9=dep_coord|10=coord|11=dep_coord|12=dep_coord	8=1|9=1|10=1|11=1|12=1
.	0	6	24	164159	164206	265	n	13	13	1	keyboard	24	False	8=7|9=9|10=7|11=9|12=9	8=etlorine|9=lorine|10=etlorine|11=lorine|12=lorine	8=et_Lorine|9=Lorine|10=et_Lorine|11=Lorine|12=Lorine	8=CC|9=NPP|10=CC|11=NPP|12=NPP	8=NPP|9=NC|10=NPP|11=NC|12=NC	8=|9=|10=|11=|12=	8=6|9=8|10=6|11=8|12=8	8=coord|9=dep_coord|10=coord|11=dep_coord|12=dep_coord	8=1|9=1|10=1|11=1|12=1
.	0	6	25	166562	166624	2356	e	14	14	1	keyboard	25	False	8=7|9=9|10=7|11=9|12=9	8=etlorine|9=lorine|10=etlorine|11=lorine|12=lorine	8=et_Lorine|9=Lorine|10=et_Lorine|11=Lorine|12=Lorine	8=CC|9=NPP|10=CC|11=NPP|12=NPP	8=NPP|9=NC|10=NPP|11=NC|12=NC	8=|9=|10=|11=|12=	8=6|9=8|10=6|11=8|12=8	8=coord|9=dep_coord|10=coord|11=dep_coord|12=dep_coord	8=1|9=1|10=1|11=1|12=1
.	0	6	26	177872	178153	11248	␣	9	15	1	keyboard	26	False	na	na	na	na	na	na	na	na	na
.	0	6	27	180196	180290	2043	⌫	10	16	-1	keyboard	27	na	na	na	na	na	na	na	na	na	na
.	0	6	28	181288	181444	998	␣	9	15	1	keyboard	28	False	na	na	na	na	na	na	na	na	na
.	0	6	29	189463	189588	8019	␣	16	16	1	keyboard	29	False	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470	23259	⌫	17	17	-1	keyboard	30	na	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470		⌫	16	16	-1	keyboard	31	na	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470		⌫	15	15	-1	keyboard	32	na	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470		⌫	14	14	-1	keyboard	33	na	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470		⌫	13	13	-1	keyboard	34	na	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470		⌫	12	12	-1	keyboard	35	na	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470		⌫	11	11	-1	keyboard	36	na	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470		⌫	10	10	-1	keyboard	37	na	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470		⌫	9	9	-1	keyboard	38	na	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470		⌫	8	8	-1	keyboard	39	na	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470		⌫	7	7	-1	keyboard	40	na	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470		⌫	6	6	-1	keyboard	41	na	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470		⌫	5	5	-1	keyboard	42	na	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470		⌫	4	4	-1	keyboard	43	na	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470		⌫	3	3	-1	keyboard	44	na	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470		⌫	2	2	-1	keyboard	45	na	na	na	na	na	na	na	na	na	na
.	0	6	30	212847	214470		⌫	1	1	-1	keyboard	46	na	na	na	na	na	na	na	na	na	na
.	0	6	31	219087	219165	4617	l	0	0	1	keyboard	47	False	14=10	14=l	14=_	14=X	14=NC	14=	14=0	14=x	14=1
.	0	6	32	220803	220913	1638	⌫	1	1	-1	keyboard	48	na	na	na	na	na	na	na	na	na	na
.	0	6	33	223705	223908	2792	L	0	0	1	keyboard	49	False	16=11	16=LI	16=li	16=NC	16=NC	16=n=s|g=m	16=0	16=x	16=1
.	0	6	34	227699	227808	3791	I	1	1	1	keyboard	50	False	16=11	16=LI	16=li	16=NC	16=NC	16=n=s|g=m	16=0	16=x	16=1
.	0	6	35	230117	230288	2309	⌫	2	2	-1	keyboard	51	na	na	na	na	na	na	na	na	na	na
.	0	6	36	230491	230600	203	⌫	1	1	-1	keyboard	52	na	na	na	na	na	na	na	na	na	na
.	0	6	37	236560	236700	5960	i	0	0	1	keyboard	53	False	18=12	18=i	18=_	18=X	18=NC	18=	18=0	18=x	18=1
.	0	6	38	239383	239555	2683	⌫	1	1	-1	keyboard	54	na	na	na	na	na	na	na	na	na	na
